,PC_1,PC_2,PC_3
2010-02-16,-14.149043280534798,-6.152551848046325,-0.693461858943171
2010-02-17,-14.090369928714932,-6.158874155471546,-0.7008206097924781
2010-02-18,-14.174860508228527,-6.219039439513997,-0.7356500734225141
2010-02-19,-14.279903889659625,-6.212935606479699,-0.6724610922256611
2010-02-22,-14.278721111454649,-6.217414053957601,-0.6494546473962444
2010-02-23,-13.919615137868842,-6.167274913981118,-0.7483678845040816
2010-02-24,-13.801961939557597,-6.08900705029759,-0.6861093056868228
2010-02-25,-13.71446777288806,-6.1156732471776065,-0.7505091285183507
2010-02-26,-13.634472006278138,-6.110376170340851,-0.7513672517727592
2010-03-01,-13.686178792150342,-6.107603793536521,-0.776675289923005
2010-03-02,-13.675949664663268,-6.124847605580506,-0.7936548559126902
2010-03-03,-13.838235233033332,-6.158524912648761,-0.7684469713395964
2010-03-04,-13.800317991229099,-6.157927806301422,-0.7877755815521716
2010-03-05,-13.886402726275938,-6.168636628223516,-0.7379830459044759
2010-03-08,-13.872590163221101,-6.17351037121847,-0.7473101973335121
2010-03-09,-13.764185655243402,-6.169383093428534,-0.8197502362762702
2010-03-10,-13.84560343677392,-6.169760719351477,-0.7792735086580402
2010-03-11,-13.903179732131669,-6.150151077251996,-0.7669172496739018
2010-03-12,-13.99766429474053,-6.128748977008474,-0.7124912588745854
2010-03-15,-13.85833795906155,-6.092617081082109,-0.7367703751371675
2010-03-16,-13.806898322844939,-6.078346938502244,-0.7592156492521066
2010-03-17,-13.657769427048544,-6.0953352127908245,-0.8299557520556532
2010-03-18,-13.753561860873196,-6.102411841018279,-0.8096191925593653
2010-03-19,-13.786278607854005,-6.098311054019396,-0.7995602412365027
2010-03-22,-13.640742924494376,-6.036582147045781,-0.7920299253062798
2010-03-23,-13.538956668726705,-6.01403055302467,-0.7941868185423344
2010-03-24,-13.626124666174265,-6.015991768541813,-0.7440004040815703
2010-03-25,-13.698019564344806,-6.048017129193738,-0.723745832887288
2010-03-26,-13.803012319965841,-6.071226907580125,-0.6948245451576038
2010-03-29,-13.662991867323711,-6.03792040620599,-0.7276582286841936
2010-03-30,-13.699774943121005,-6.030694311346842,-0.708382550316275
2010-03-31,-13.52631942556341,-5.9407611627668535,-0.7348047406940366
2010-04-01,-13.538098521633623,-5.896718863556284,-0.7013511973612805
2010-04-06,-13.65973784886793,-5.9196648870421615,-0.6931167726973109
2010-04-07,-13.584399958775075,-5.918023334307949,-0.6887839208292338
2010-04-08,-13.53448799284666,-5.933633154931952,-0.727612687449363
2010-04-09,-13.755048112112,-5.972591541527936,-0.7007776654014449
2010-04-12,-13.775707189886857,-5.9640089695678515,-0.7092913647402747
2010-04-13,-13.664223398126412,-5.967131074532135,-0.7685084169561054
2010-04-14,-13.67056725782652,-6.005298815304954,-0.7628482473939654
2010-04-15,-13.706935930226377,-6.0230481515323335,-0.7861838434447469
2010-04-16,-13.609369906311924,-6.039778914653519,-0.8454298817032967
2010-04-19,-13.503738828724806,-6.022538189819567,-0.8238465432171193
2010-04-20,-13.5599947281405,-6.018550047154875,-0.8292242970505934
2010-04-21,-13.56156826900072,-6.03254521863026,-0.8581883424634373
2010-04-22,-13.42808497249379,-5.938523333276622,-0.8072447058113531
2010-04-23,-13.529141092620607,-5.979085714199915,-0.7996421212507028
2010-04-26,-13.467332426739524,-5.890337692376132,-0.7810463092190306
2010-04-27,-13.38896492371091,-5.8483032806705895,-0.6695550482943474
2010-04-28,-13.264173437003489,-5.786324657615441,-0.5971435878187301
2010-04-29,-13.354535077917156,-5.852746194177704,-0.702850307611631
2010-04-30,-13.17063096651297,-5.810961359911863,-0.7624326476241744
2010-05-03,-13.477181110601625,-6.0247752945333595,-0.9522367253006638
2010-05-04,-13.182704208959647,-5.95159067830137,-0.9423661448152831
2010-05-05,-12.766967968274782,-5.9957265959433705,-1.0209254173982634
2010-05-06,-12.84819139680589,-6.105211420473458,-1.094636283887033
2010-05-07,-12.669905909279292,-6.128552371498347,-1.1785938764843817
2010-05-10,-13.180459461106402,-6.325753782046822,-1.1875464201014854
2010-05-11,-13.170280035357775,-6.305806135481226,-1.2273832621017455
2010-05-12,-13.221015876625565,-6.34803520518079,-1.2130349811539025
2010-05-13,-13.111899036692037,-6.298366670993617,-1.224335489831395
2010-05-14,-12.771254241680147,-6.189836457613409,-1.2343968384034432
