,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2015-03-27,0.9797288236895649,-0.9697288236871188,-1.4575215283923793,-3.0904691426856696,0.33158884257466925,2.0688008603345787
2015-04-02,0.9213232263227102,-0.9113232263336812,-1.546606616776259,-3.0525613523396866,0.28132964671427,2.0147062338234667
2015-04-10,0.9848345905280682,-0.9748345905120678,-1.7316624262768858,-3.277166442337562,0.2890435173246016,2.167134874924798
2015-04-17,0.7726664240888466,-0.7626664240897189,-1.6574945588790682,-2.649979029039995,0.29123504290586144,2.2845938194649884
2015-04-24,0.9580221342123434,-1.232022134183539,3.551912209814516,-5.4797597216126785,1.9912715110405048,2.281215892584064
2015-04-30,1.2643905372291016,-1.5503905372207318,3.444288484039961,-5.524874406480473,2.137169482962331,2.391118012772409
2015-05-08,1.5443779839946152,-1.8405546577720333,2.9945768895327234,-5.920377802459513,1.5271151363203066,1.911998704955847
2015-05-15,1.7555155095241586,-2.0365155095208847,2.659976167771449,-6.144310461504058,1.3402931917411571,1.84203465590181
2015-05-22,1.7457605455669096,-2.0337605456081866,2.6490359256099705,-6.156370695359186,1.3711826974156334,1.87556907227224
2015-05-29,1.6159440021657605,-1.859944002170012,2.7076649031218367,-6.087132246272322,1.417821791877605,1.911269773632224
2015-06-05,2.0859856195653643,-2.377985619562456,2.1808602808814963,-6.4190306896981,1.186088854467935,1.767323802518904
2015-06-12,2.1496175899290644,-2.420617589963955,2.04888850282272,-6.590219295118858,1.1240795335951346,1.7463420838868144
2015-06-19,2.055577542519067,-2.3187279924361333,2.141311351718008,-6.483482657714063,1.1690761062739812,1.7696951973382988
2015-06-26,2.4084004140109734,-2.6714004139981253,1.7341544346709448,-6.937645721628537,1.1117150618019231,1.8237755749515296
2015-07-03,2.338172555544493,-2.614172555574998,1.6540257260715612,-7.0953838656133685,1.0273036806005778,1.8046921522747288
2015-07-10,1.0166935014157104,-1.2647432017822933,-10.811388230153682,12.280789526073187,4.311539352162322,6.1111006164864445
2015-07-17,1.0050787786842537,-1.2608732355896706,-10.969877831987855,12.119931332132868,4.612341181178665,6.2754703214202046
2015-07-24,0.9191632542529434,-1.1448417192107398,-11.039914543696193,12.047136082632706,4.645062825516372,6.283925204115946
2015-07-31,0.8937859994907221,-1.1438098602259388,-11.043399391416528,12.037369674962873,4.73924423081402,6.298100283250992
2015-08-07,0.9300314302872508,-1.1745057254674092,-11.029435864815863,12.045884974559328,4.734340973584351,6.4579628881450155
2015-08-14,0.7897915497265499,-1.0194159956276745,-10.962373826528449,12.111501480958559,4.662551584123598,6.380259098735098
2015-08-21,0.7254452317834831,-0.9503826656055296,-10.94383908219779,12.128598669147479,4.790840075376356,6.460057956952782
2015-08-28,0.7572082399713412,-0.9926498517530484,-10.757702575375033,12.276309752806233,4.780997038992516,6.540799095985805
2015-09-04,0.7624274046221946,-1.0144876370414684,-10.753320153053432,12.268520503677838,4.793040501026213,6.589559813055666
2015-09-11,0.7862280209661914,-1.009857749210573,-10.788010599874859,12.257712332113712,4.888464885061096,6.8298429593341465
2015-09-18,0.7272858154871149,-0.9778113514282722,-10.739687603076133,12.276666942318213,4.906466882333807,6.736259906226281
